Area,Production,GDP,Annual Growth Rate (%),Inflation,Rainfall,Price,Temparature
2163,5996,33668,0.003,0.0401,871.3,1139,29.59
106296,199624,34352,0.0186,0.0378,924.5,864,29.86
3864,10085,34352,0.0186,0.0378,924.5,864,29.86
93995,115426,35796,0.043,0.043,615.2,964,29.9
594,1558,35796,0.043,0.043,615.2,964,29.9
108694,228366,41572,0.1608,0.0381,725.5,945,30.2
4382,10679,41572,0.1608,0.0381,725.5,945,30.2
125205,291352,47728,0.1482,0.0377,741.7,1309,30.24
2370,3979,47728,0.1482,0.0377,741.7,1309,30.24
94336,131127,54340,0.1387,0.0425,1066.4,1009,30.4
3750,9529,54340,0.1387,0.0425,1066.4,1009,30.4
117452,281532,61332,0.1285,0.058,638.1,1094,30
1000,1803,61332,0.1285,0.058,638.1,1094,30
124000,362000,78128,0.2747,0.0637,980.6,1284,30.12
3000,7000,78128,0.2747,0.0637,980.6,1284,30.12
128964,307966,75924,-0.029,0.0835,798,1494,30.5
1695,4043,75924,-0.029,0.0835,798,1494,30.5
104550,229801,83752,0.1036,0.1088,688.2,1575,29.87
3683,9285,83752,0.1036,0.1088,688.2,1575,29.87
126290,325213,103208,0.232,0.1199,963.5,1030,29.7
7254,23452,103208,0.232,0.1199,963.5,1030,29.7
123491,265106,110808,0.0741,0.0886,738,1110,27.6
1078,2639,110808,0.0741,0.0886,738,1110,27.6
119079,306509,109744,-0.0098,0.0931,715,1250,27.55
6690,14310,109744,-0.0098,0.0931,715,1250,27.55
109271,270446,110200,0.004,0.1106,762.6,1345,27.75
7507,20479,110200,0.004,0.1106,762.6,1345,27.75
119229,314526,119624,0.0857,0.0665,551.8,1425,27.92
5357,17314,119624,0.0857,0.0665,551.8,1425,27.92
124586,331840,119624,0.0857,0.0665,551.8,1425,27.92
247200,630400,31540,0.0389,0.0716,835,968,28.84
193600,678100,31540,0.0389,0.0716,835,968,28.84
262000,646400,31388,-0.0053,0.1323,948.1,939,29.1
194300,849100,31388,-0.0053,0.1323,948.1,939,29.1
267083,685440,33592,0.0694,0.0467,537.2,1009,29.23
193377,780930,33592,0.0694,0.0467,537.2,1009,29.23
